commune,departemen,latitude,longitude
VALENCE,TARN-ET-GARONNE,44.11176905626739,0.8916521333402717
CHÂTEAU-DU-LOIR,SARTHE,47.6829554944929,0.41504592317871153
LOURDES,HAUTES-PYRENEES,43.100562775296886,-0.04199418685145421
VALLEROY,MEURTHE-ET-MOSELLE,49.20508779940924,5.934437034177995
SAINT-CYR-SUR-MER,VAR,43.18536670326795,5.703752554715747
HIRSON,AISNE,49.92932208211229,4.086000106405374
ISBERGUES,PAS-DE-CALAIS,50.61399065406818,2.463017016054723
ACHIET-LE-GRAND,PAS-DE-CALAIS,50.13214092967486,2.78062210233176
COURLANDON,MARNE,49.30993983759689,3.7338296061713736
BANTZENHEIM,HAUT-RHIN,47.812037128058996,7.506783121750869
SASSENAY,SAONE-ET-LOIRE,46.84135262158634,4.899803794974524
FROMENTAL,HAUTE-VIENNE,46.17320437234764,1.434917653629541
RENESCURE,NORD,50.73196873909944,2.372330558433975
BESSAY-SUR-ALLIER,ALLIER,46.443614077832876,3.3607490855956104
PINON,AISNE,49.49586645543742,3.448684506906265
JARRIE,ISERE,45.084810831009,5.742573539163728
LILLE,NORD,50.61207675398008,3.075284054981671
ANOR,NORD,49.9849886256831,4.0928903535258945
MOURIOUX-VIEILLEVILLE,CREUSE,46.08892502544189,1.6717108813584094
PARIS,PARIS,48.83915148372152,2.270480189164175
CHORGES,HAUTES-ALPES,44.545727227599095,6.271773650688591
SAINT-HILAIRE-AU-TEMPLE,MARNE,49.05571428644101,4.379403411513751
MONNERVILLE,ESSONNE,48.34725226147762,2.031020422674963
NOIRÉTABLE,LOIRE,45.81601494608274,3.761191342112098
SIN-LE-NOBLE,NORD,50.35654046355349,3.112610047358652
NOUVION-SUR-MEUSE,ARDENNES,49.697103592729384,4.795018999514381
SANNOIS,VAL-D'OISE,48.970120345292266,2.264010599110741
CLUSES,HAUTE-SAVOIE,46.06140227954605,6.582707514462021
BAGNEAUX-SUR-LOING,SEINE-ET-MARNE,48.23049418641679,2.703400730744867
FOËCY,CHER,47.17563873739235,2.1626453738645055
IRIGNY,RHONE,45.68958680858145,4.832318048815103
BUSSAC-FORÊT,CHARENTE-MARITIME,45.211910982782754,-0.3680177905953232
RENNES,ILLE-ET-VILAINE,48.09198766052616,-1.6305840948465888
TILLENAY,COTE-D'OR,47.192566104419896,5.37722505552903
CERIZAY,DEUX-SEVRES,46.81734772336812,-0.6671289797946713
PARIS,PARIS,48.8404952132908,2.3670376395675
HOMÉCOURT,MEURTHE-ET-MOSELLE,49.21819984118651,5.997872241481721
SÉNAS,BOUCHES-DU-RHONE,43.74089310810165,5.073227644115169
VILLENEUVE-SAINT-GEORGES,VAL-DE-MARNE,48.731435750675836,2.4463789413393147
YZEURE,ALLIER,46.556595428054145,3.337996194581846
SAINT-PRIEST-TAURION,HAUTE-VIENNE,45.88722233493495,1.4006698198516623
MUNDOLSHEIM,BAS-RHIN,48.64480647397212,7.721283366541173
AMIENS,SOMME,49.9096024443626,2.264589213285632
MÉZIN,LOT-ET-GARONNE,44.0592847324384,0.24897459704255065
PESSAC,GIRONDE,44.79332480060389,-0.6597968602544843
MOLSHEIM,BAS-RHIN,48.53746862701989,7.500117588274118
CORBENAY,HAUTE-SAONE,47.90972009305242,6.332728777672446
COLMAR,HAUT-RHIN,48.072706036327574,7.346746102147761
CHESSY,RHONE,45.88543647102974,4.6224918425323915
TOULOUSE,HAUTE-GARONNE,43.572133053034946,1.4202021434067549
PARIS,PARIS,48.887868030425764,2.3147265854802312
VILLARD-BONNOT,ISERE,45.23453734626559,5.880868045948992
TOULOUSE,HAUTE-GARONNE,43.602518852007954,1.3527654315470508
SAINT-PATRICE,INDRE-ET-LOIRE,47.28552890736346,0.30973937507330157
MURET,HAUTE-GARONNE,43.463955270276394,1.3236437626042223
SAINT-OUEN-DU-BREUIL,SEINE-MARITIME,49.640770141100866,1.0108132912472068
BOUY,MARNE,49.09120996132021,4.353159140006061
SEVRAN,SEINE-SAINT-DENIS,48.930905966857246,2.5151909274873874
FRANCHEVILLE,RHONE,45.731708280819966,4.770411272700128
CLERMONT-FERRAND,PUY-DE-DOME,45.767919615820865,3.0906026103956816
RECQUIGNIES,NORD,50.28403349389714,4.044414592795842
LESQUIN,NORD,50.58999849098349,3.118755929274786
ARTIX,PYRENEES-ATLANTIQUES,43.39288759762234,-0.5700043309813267
CARBONNE,HAUTE-GARONNE,43.2976649545165,1.2115874625272536
CHAMONIX-MONT-BLANC,HAUTE-SAVOIE,45.96589965177706,6.9102265442610395
BRIOLLAY,MAINE-ET-LOIRE,47.57369271528373,-0.48284853179210624
VIONS,SAVOIE,45.8246255042784,5.80698931632228
CRÉCY-LA-CHAPELLE,SEINE-ET-MARNE,48.85947065222029,2.9059199108247316
SALBRIS,LOIR-ET-CHER,47.428382292605555,2.046734161195331
LE HOULME,SEINE-MARITIME,49.51335750996944,1.0396956827531791
SAINT-PIERRE-D'ALBIGNY,SAVOIE,45.55716515093651,6.156333740100026
CHEVRY,AIN,46.28021018975994,6.039598080514082
MEROUX,TERRITOIRE-DE-BELFORT,47.58679680880519,6.898615265609102
MUTZIG,BAS-RHIN,48.533593276017385,7.462406503086942
LE VERDON-SUR-MER,GIRONDE,45.54924765654894,-1.064886696751188
DISTROFF,MOSELLE,49.33509539674024,6.260227352042514
BERNAY,EURE,49.087038840178934,0.5958065721583324
NEUILLY-LÈS-DIJON,COTE-D'OR,47.281633487305285,5.110980841051311
VALENCIENNES,NORD,50.36596539944489,3.5185153662986783
LENS,PAS-DE-CALAIS,50.43781911328341,2.792160590965307
THOUARS,DEUX-SEVRES,46.98498345107234,-0.20743028846906084
MARCK,PAS-DE-CALAIS,50.945434353785295,1.9524547099326266
LA FOREST-LANDERNEAU,FINISTERE,48.42635046105802,-4.307191186412105
MOUY,OISE,49.3205463523083,2.326570137374302
PUILAURENS,AUDE,42.81070782157709,2.313008818752498
PROVENCHÈRES-SUR-FAVE,VOSGES,48.304571124172064,7.085467242225603
CHEVAIGNÉ,ILLE-ET-VILAINE,48.20905987525593,-1.6309255798376765
KESKASTEL,BAS-RHIN,48.96539360703799,7.049041898103696
LUX,COTE-D'OR,47.48787338373572,5.203727539284982
MUHLBACH-SUR-BRUCHE,BAS-RHIN,48.51807404398747,7.294179308049224
VERTOU,LOIRE-ATLANTIQUE,47.18605510120579,-1.4779607078099455
THANN,HAUT-RHIN,47.80905151474752,7.106968882212066
CEAUX-EN-COUHÉ,VIENNE,46.3067951267388,0.24491213299289474
FRANXAULT,COTE-D'OR,47.06122560747648,5.281346106227321
RAMPAN,MANCHE,49.16193485854496,-1.1270817598708465
SAINT-MÉDARD-D'EYRANS,GIRONDE,44.715684281447565,-0.5043159343500698
GARGENVILLE,YVELINES,48.98300823300812,1.8091924588900643
MASSÉRAC,LOIRE-ATLANTIQUE,47.67466377663679,-1.9138730685326024
VIC-LA-GARDIOLE,HERAULT,43.50077652633081,3.7995197905181075
SAINT-CHÉLY-D'APCHER,LOZERE,44.80169452468867,3.2707978006652723
L'ÉTANG-LA-VILLE,YVELINES,48.868068072209596,2.076815556744503
SAINT-LAURENT-SUR-MANOIRE,DORDOGNE,45.138385809501614,0.808307981501077
MAISONS-ALFORT,VAL-DE-MARNE,48.78811528896629,2.4323777153082102
ARQUES-LA-BATAILLE,SEINE-MARITIME,49.8806260695684,1.1342544837679875
MULHOUSE,HAUT-RHIN,47.74354772469459,7.317323496658666
SAINT-HILAIRE-DU-ROSIER,ISERE,45.07152379163196,5.2438976878738925
ISSOUDUN,INDRE,46.9519950246367,1.987487716284131
MOÛTIERS,SAVOIE,45.48649045169002,6.531548657040218
CORBIGNY,NIEVRE,47.25489222897172,3.6771847379264906
LE CATEAU-CAMBRÉSIS,NORD,50.091261476548844,3.540412090656098
CAGNY,CALVADOS,49.14114275200297,-0.2601078119282581
SAINT-OUEN-L'AUMONE,VAL-D'OISE,49.0455687135183,2.1019526222471825
TOUL,MEURTHE-ET-MOSELLE,48.68062595595998,5.885077969111001
DRAP,ALPES-MARITIMES,43.764170779531916,7.339017118416614
OLETTE,PYRENEES-ORIENTALES,42.55466061605756,2.2720118589272724
OISSEL,SEINE-MARITIME,49.34305349052296,1.1022829008373096
EVREUX,EURE,49.018385274792585,1.1504190723961758
LAMOTHE-MONTRAVEL,DORDOGNE,44.85378281525603,0.02152928472459626
AUENHEIM,BAS-RHIN,48.82044576232611,8.011781791876578
VÉZELISE,MEURTHE-ET-MOSELLE,48.48065805287505,6.100775584008421
BONDY,SEINE-SAINT-DENIS,48.893901206734085,2.478714466495548
VILLENEUVE-D'ASCQ,NORD,50.62287623176419,3.1463510262416374
SAINT-RAPHAEL,VAR,43.423666847163744,6.769239761566717
BAGNÈRES-DE-LUCHON,HAUTE-GARONNE,42.797272755751266,0.5967364022377669
ÉPÔNE,YVELINES,48.963436430586086,1.8112016087027
MENNECY,ESSONNE,48.5711328072126,2.4332680534405515
LANGUENAN,COTES-D'ARMOR,48.495955780615624,-2.1415170332116213
ESTERNAY,MARNE,48.73095043531189,3.5620496010044764
RAEDERSHEIM,HAUT-RHIN,47.88708451836057,7.284060687731499
SAINT-DENIS-DES-MURS,HAUTE-VIENNE,45.78907725386216,1.5511154435710721
DARCEY,COTE-D'OR,47.532073434597834,4.556289078969818
FEUQUIÈRES-EN-VIMEU,SOMME,50.06341294929695,1.589163841323789
TRIGNAC,LOIRE-ATLANTIQUE,47.30061347440939,-2.1930931497631834
CREUSOT (LE ),SAONE-ET-LOIRE,46.80844585943469,4.429992290925031
VERSAILLES,YVELINES,48.7955410928173,2.096901709300267
OSSÉJA,PYRENEES-ORIENTALES,42.41992974533392,1.977066179295432
SAINT-MARCEL,SAVOIE,45.50485971111415,6.562693270316036
RIA-SIRACH,PYRENEES-ORIENTALES,42.60323405163333,2.3904837645440256
LEYMENT,AIN,45.9364711719374,5.285127971080204
TILLIÈRES-SUR-AVRE,EURE,48.76084521061679,1.054569707633559
BARJAC,LOZERE,44.49938407218205,3.410793616996402
MIGENNES,YONNE,47.96084027173507,3.5129403208037213
TOURS,INDRE-ET-LOIRE,47.38843858624432,0.6951929772176212
GIÈRES,ISERE,45.18496770663969,5.7846417535619175
MAROEUIL,PAS-DE-CALAIS,50.32245804724086,2.698229528348671
AMBERIEU-EN-BUGEY,AIN,45.95382301892354,5.3423895817290035
SETE,HERAULT,43.41279859930766,3.696608504888424
CERGY,VAL-D'OISE,49.04813465813406,2.011539282920864
SAINT-ETIENNE,LOIRE,45.46473449982972,4.379503128451233
BEAUGENCY,LOIRET,47.77848609424281,1.6259065661099252
VOREPPE,ISERE,45.28979330761293,5.632502398249642
IGNY,ESSONNE,48.74012266535903,2.2310290244226714
POLIGNY,JURA,46.84340299991757,5.6990308767011655
TOULOUSE,HAUTE-GARONNE,43.599859596346754,1.3714182382642093
VILLEDIEU-LES-POÊLES,MANCHE,48.834229679128306,-1.2252725559060471
VENDIN-LE-VIEIL,PAS-DE-CALAIS,50.48101595578619,2.8783160109761416
BOURG-MADAME,PYRENEES-ORIENTALES,42.43241333857108,1.948683978965733
VAIRES-SUR-MARNE,SEINE-ET-MARNE,48.87535175037072,2.639812414451987
VENDIN-LE-VIEIL,PAS-DE-CALAIS,50.473239581712974,2.8792997145510655
BARBENTANE,BOUCHES-DU-RHONE,43.89664869206398,4.782764958344965
BEAURAINVILLE,PAS-DE-CALAIS,50.42276362904001,1.8953455498154952
TRILPORT,SEINE-ET-MARNE,48.96019105551851,2.9494788497514666
LA COQUILLE,DORDOGNE,45.54069297076012,0.9744162452795672
CHAMONIX-MONT-BLANC,HAUTE-SAVOIE,45.91621088662155,6.8575677164665825
MONTLUCON,ALLIER,46.337672377108035,2.5961964589978366
CAPDENAC-GARE,AVEYRON,44.57865477486293,2.0774082143774812
GUÉTHARY,PYRENEES-ATLANTIQUES,43.425327427288515,-1.6098691396108846
VIEUX-THANN,HAUT-RHIN,47.80206960697489,7.132891897246952
SAINT-AMOUR,JURA,46.4330950875973,5.334079345285624
TRÉON,EURE-ET-LOIR,48.67519173083716,1.3152199003164347
